epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
76,1838.55,0.09285,0.8232,1,1.0941,0.000448928,0.000448928,0.000448928
77,1862.69,0.13173,0.8011,1,1.10592,0.000445393,0.000445393,0.000445393
78,1886.76,0.10288,0.79558,1,1.10688,0.000441859,0.000441859,0.000441859
79,1910.85,0.12464,0.78453,1,1.1224,0.000438325,0.000438325,0.000438325
80,1934.9,0.1302,0.79006,1,1.12702,0.00043479,0.00043479,0.00043479
81,1958.22,0.16292,0.78453,1,1.11302,0.000431256,0.000431256,0.000431256
82,1982.23,0.11378,0.79006,1,1.11121,0.000427722,0.000427722,0.000427722
83,2006.31,0.09897,0.8011,1,1.11912,0.000424187,0.000424187,0.000424187
84,2030.39,0.10949,0.77901,1,1.12715,0.000420653,0.000420653,0.000420653
85,2054.53,0.1372,0.78453,1,1.12049,0.000417119,0.000417119,0.000417119
86,2078.52,0.09907,0.8011,1,1.12309,0.000413584,0.000413584,0.000413584
87,2102.6,0.1356,0.79006,1,1.11865,0.00041005,0.00041005,0.00041005
88,2126.69,0.13345,0.8011,1,1.11973,0.000406516,0.000406516,0.000406516
89,2150.75,0.12311,0.79006,1,1.10173,0.000402982,0.000402982,0.000402982
90,2174.82,0.10996,0.8011,1,1.10865,0.000399447,0.000399447,0.000399447
91,2198.9,0.09865,0.79006,1,1.11205,0.000395913,0.000395913,0.000395913
92,2222.99,0.07645,0.8011,1,1.09801,0.000392379,0.000392379,0.000392379
93,2247.16,0.08233,0.8011,1,1.10357,0.000388844,0.000388844,0.000388844
94,2271.32,0.10433,0.79006,1,1.10555,0.00038531,0.00038531,0.00038531
95,2295.42,0.10921,0.81215,1,1.11362,0.000381776,0.000381776,0.000381776
96,2319.56,0.09497,0.79006,1,1.09776,0.000378242,0.000378242,0.000378242
97,2343.66,0.09916,0.8011,1,1.10545,0.000374707,0.000374707,0.000374707
98,2367.8,0.10605,0.80663,1,1.10642,0.000371173,0.000371173,0.000371173
99,2391.85,0.09006,0.82873,1,1.08473,0.000367639,0.000367639,0.000367639
100,2415.95,0.10428,0.83425,1,1.08238,0.000364104,0.000364104,0.000364104
101,2440.02,0.07376,0.81768,1,1.1034,0.00036057,0.00036057,0.00036057
102,2464.14,0.0904,0.81768,1,1.10622,0.000357036,0.000357036,0.000357036
103,2487.34,0.06545,0.80663,1,1.10529,0.000353501,0.000353501,0.000353501
104,2511.33,0.0938,0.80663,1,1.11427,0.000349967,0.000349967,0.000349967
105,2535.42,0.08219,0.8011,1,1.11406,0.000346433,0.000346433,0.000346433
106,2559.42,0.06363,0.83425,1,1.0962,0.000342899,0.000342899,0.000342899
107,2583.53,0.08131,0.80663,1,1.10334,0.000339364,0.000339364,0.000339364
108,2607.73,0.09503,0.81215,1,1.10724,0.00033583,0.00033583,0.00033583
109,2631.87,0.08317,0.8011,1,1.10015,0.000332296,0.000332296,0.000332296
110,2655.96,0.10074,0.81215,1,1.10297,0.000328761,0.000328761,0.000328761
111,2680.12,0.07888,0.81215,1,1.09963,0.000325227,0.000325227,0.000325227
112,2704.18,0.08789,0.79006,1,1.11763,0.000321693,0.000321693,0.000321693
113,2728.37,0.10479,0.8011,1,1.10785,0.000318158,0.000318158,0.000318158
114,2751.89,0.0695,0.79558,1,1.11796,0.000314624,0.000314624,0.000314624
115,2775.95,0.07153,0.76243,1,1.13293,0.00031109,0.00031109,0.00031109
116,2799.2,0.06571,0.76796,1,1.13336,0.000307555,0.000307555,0.000307555
117,2823.27,0.0767,0.79006,1,1.10916,0.000304021,0.000304021,0.000304021
118,2846.74,0.07701,0.80663,1,1.11326,0.000300487,0.000300487,0.000300487
119,2870.47,0.08517,0.81768,1,1.09769,0.000296953,0.000296953,0.000296953
120,2894.24,0.0873,0.8232,1,1.09654,0.000293418,0.000293418,0.000293418
121,2918.42,0.07055,0.81768,1,1.10422,0.000289884,0.000289884,0.000289884
122,2942.49,0.08289,0.8011,1,1.10306,0.00028635,0.00028635,0.00028635
123,2966.64,0.07263,0.79006,1,1.12905,0.000282815,0.000282815,0.000282815
124,2990.73,0.06802,0.76796,1,1.1226,0.000279281,0.000279281,0.000279281
125,3014.84,0.07225,0.80663,1,1.11928,0.000275747,0.000275747,0.000275747
126,3038.89,0.06442,0.78453,1,1.12325,0.000272212,0.000272212,0.000272212
127,3062.36,0.07657,0.79006,1,1.12079,0.000268678,0.000268678,0.000268678
128,3086.5,0.06776,0.81215,1,1.10675,0.000265144,0.000265144,0.000265144
129,3110.6,0.05497,0.81215,1,1.09831,0.00026161,0.00026161,0.00026161
130,3134.7,0.05889,0.79558,1,1.1045,0.000258075,0.000258075,0.000258075
131,3158.59,0.0704,0.8011,1,1.11116,0.000254541,0.000254541,0.000254541
132,3182.87,0.0706,0.8011,1,1.10513,0.000251007,0.000251007,0.000251007
133,3206.93,0.0676,0.79558,1,1.10802,0.000247472,0.000247472,0.000247472
134,3231.09,0.07904,0.80663,1,1.11132,0.000243938,0.000243938,0.000243938
135,3255.14,0.06357,0.8232,1,1.11042,0.000240404,0.000240404,0.000240404
136,3279.25,0.06744,0.8011,1,1.10674,0.000236869,0.000236869,0.000236869
137,3303.14,0.0853,0.8011,1,1.10553,0.000233335,0.000233335,0.000233335
138,3326.93,0.05323,0.8011,1,1.1073,0.000229801,0.000229801,0.000229801
139,3350.12,0.06626,0.80663,1,1.10699,0.000226267,0.000226267,0.000226267
140,3373.68,0.05627,0.81768,1,1.09826,0.000222732,0.000222732,0.000222732
141,3397.73,0.05267,0.8011,1,1.10862,0.000219198,0.000219198,0.000219198
142,3421.88,0.07306,0.81215,1,1.09236,0.000215664,0.000215664,0.000215664
143,3445.84,0.05788,0.81215,1,1.09862,0.000212129,0.000212129,0.000212129
144,3469.84,0.06303,0.81215,1,1.09944,0.000208595,0.000208595,0.000208595
145,3493.96,0.06071,0.8232,1,1.09976,0.000205061,0.000205061,0.000205061
146,3517.61,0.05435,0.82873,1,1.09698,0.000201527,0.000201527,0.000201527
147,3541.62,0.06195,0.81215,1,1.0938,0.000197992,0.000197992,0.000197992
148,3565.62,0.05429,0.81768,1,1.09836,0.000194458,0.000194458,0.000194458
149,3589.73,0.0388,0.8232,1,1.09792,0.000190924,0.000190924,0.000190924
150,3613.74,0.04674,0.8011,1,1.10223,0.000187389,0.000187389,0.000187389
151,3637.9,0.05294,0.81215,1,1.09441,0.000183855,0.000183855,0.000183855
152,3661.61,0.04781,0.80663,1,1.10005,0.000180321,0.000180321,0.000180321
153,3685.61,0.07537,0.80663,1,1.10165,0.000176786,0.000176786,0.000176786
154,3709.63,0.05681,0.8232,1,1.09794,0.000173252,0.000173252,0.000173252
155,3733.75,0.04567,0.81215,1,1.09225,0.000169718,0.000169718,0.000169718
156,3757.73,0.06169,0.81215,1,1.10117,0.000166183,0.000166183,0.000166183
157,3780.86,0.05163,0.80663,1,1.10634,0.000162649,0.000162649,0.000162649
158,3804.24,0.04515,0.80663,1,1.1057,0.000159115,0.000159115,0.000159115
159,3828.24,0.04651,0.80663,1,1.11014,0.000155581,0.000155581,0.000155581
160,3852.27,0.04815,0.79006,1,1.11964,0.000152046,0.000152046,0.000152046
161,3875.7,0.05401,0.80663,1,1.1116,0.000148512,0.000148512,0.000148512
162,3899.68,0.03854,0.79558,1,1.12226,0.000144978,0.000144978,0.000144978
163,3923.74,0.06295,0.79558,1,1.11455,0.000141443,0.000141443,0.000141443
164,3947.81,0.03966,0.79006,1,1.11286,0.000137909,0.000137909,0.000137909
165,3971.82,0.03174,0.78453,1,1.1229,0.000134375,0.000134375,0.000134375
166,3995.92,0.04535,0.79558,1,1.11519,0.000130841,0.000130841,0.000130841
167,4019.54,0.04849,0.78453,1,1.11391,0.000127306,0.000127306,0.000127306
168,4043.53,0.04395,0.79006,1,1.11301,0.000123772,0.000123772,0.000123772
169,4067.03,0.0532,0.79006,1,1.10791,0.000120238,0.000120238,0.000120238
170,4090.5,0.04671,0.81215,1,1.10873,0.000116703,0.000116703,0.000116703
171,4114.49,0.05294,0.79006,1,1.1175,0.000113169,0.000113169,0.000113169
172,4138.6,0.04408,0.8011,1,1.11301,0.000109635,0.000109635,0.000109635
173,4162.56,0.04235,0.79006,1,1.1099,0.0001061,0.0001061,0.0001061
174,4186.65,0.04352,0.80663,1,1.10785,0.000102566,0.000102566,0.000102566
175,4210.51,0.05159,0.80663,1,1.11264,9.90318e-05,9.90318e-05,9.90318e-05
176,4234.4,0.05424,0.79558,1,1.11415,9.54975e-05,9.54975e-05,9.54975e-05
177,4258.5,0.05051,0.81215,1,1.10788,9.19632e-05,9.19632e-05,9.19632e-05
178,4282.64,0.05331,0.8011,1,1.10616,8.84289e-05,8.84289e-05,8.84289e-05
179,4306.21,0.04142,0.81768,1,1.10448,8.48946e-05,8.48946e-05,8.48946e-05
180,4330.3,0.04205,0.81215,1,1.09991,8.13603e-05,8.13603e-05,8.13603e-05
181,4354.34,0.05157,0.81215,1,1.10396,7.7826e-05,7.7826e-05,7.7826e-05
182,4378.43,0.02971,0.81768,1,1.10625,7.42917e-05,7.42917e-05,7.42917e-05
183,4402.36,0.03796,0.81215,1,1.09827,7.07574e-05,7.07574e-05,7.07574e-05
184,4426.41,0.03667,0.80663,1,1.10947,6.72231e-05,6.72231e-05,6.72231e-05
185,4450.74,0.04876,0.81768,1,1.10827,6.36888e-05,6.36888e-05,6.36888e-05
186,4474.76,0.03914,0.8011,1,1.1051,6.01545e-05,6.01545e-05,6.01545e-05
187,4498.79,0.04101,0.80663,1,1.11231,5.66202e-05,5.66202e-05,5.66202e-05
188,4522.91,0.03145,0.81215,1,1.11289,5.30859e-05,5.30859e-05,5.30859e-05
189,4546.93,0.03746,0.81215,1,1.1118,4.95516e-05,4.95516e-05,4.95516e-05
